Id,N1,N2,N3,N4,N5,N6,Date
307,2,7,8,10,28,44,8/7/2018
308,12,26,28,29,39,43,11/7/2018
309,3,8,9,25,27,28,13/07/2018
310,7,15,20,29,31,38,15/07/2018
311,8,10,14,19,26,34,18/07/2018
312,13,14,16,19,20,23,20/07/2018
313,8,9,24,27,40,45,22/07/2018
314,9,16,18,38,41,45,25/07/2018
315,2,21,32,37,38,42,27/07/2018
316,26,31,32,37,43,45,29/07/2018
317,5,6,29,30,37,38,1/8/2018
318,3,8,10,24,27,28,3/8/2018
319,7,10,18,31,39,43,5/8/2018
320,19,34,37,39,41,44,8/8/2018
321,18,22,24,29,41,45,10/8/2018
322,5,16,17,28,31,38,12/8/2018
323,12,24,25,33,40,44,15/08/2018
324,3,8,22,28,33,42,17/08/2018
325,16,18,28,36,37,45,19/08/2018
326,15,17,18,33,34,44,22/08/2018
327,3,22,25,29,33,40,24/08/2018
328,1,3,11,12,22,36,26/08/2018
329,16,17,24,28,30,36,29/08/2018
330,11,19,30,36,38,40,31/08/2018
331,10,12,13,22,26,40,2/9/2018
332,5,6,22,27,34,37,5/9/2018
333,8,10,11,28,42,45,7/9/2018
334,8,14,18,21,44,45,9/9/2018
335,11,12,13,16,29,31,12/9/2018
336,12,16,17,18,26,34,14/09/2018
337,3,13,17,18,23,34,16/09/2018
338,10,20,22,24,27,42,19/09/2018
339,1,3,11,14,23,29,21/09/2018
340,18,27,32,35,41,44,23/09/2018
341,12,19,27,39,42,45,26/09/2018
342,2,6,11,13,15,38,28/09/2018
343,1,20,24,36,43,45,30/09/2018
344,6,12,19,21,25,45,3/10/2018
345,4,12,17,29,35,44,5/10/2018
346,14,18,31,34,39,44,7/10/2018
347,18,19,22,28,41,42,10/10/2018
348,11,12,20,26,28,42,12/10/2018
349,7,8,9,34,40,43,14/10/2018
350,1,12,14,36,39,43,17/10/2018
351,2,14,30,38,39,45,19/10/2018
352,6,22,24,28,30,37,21/10/2018
353,6,26,34,35,39,42,24/10/2018
354,2,18,31,33,36,41,26/10/2018
355,9,18,19,20,31,45,28/10/2018
356,17,22,26,30,33,35,31/10/2018
357,4,6,11,18,24,25,2/11/2018
358,7,12,13,17,25,30,4/11/2018
359,6,18,22,25,31,37,7/11/2018
360,6,18,28,32,34,35,9/11/2018
361,20,23,26,27,32,34,11/11/2018
362,12,14,24,26,30,40,14/11/2018
363,4,12,18,21,25,41,16/11/2018
364,6,27,28,30,37,44,18/11/2018
365,7,9,16,19,24,33,21/11/2018
366,8,10,12,21,25,40,23/11/2018
367,3,5,11,18,24,29,25/11/2018
368,8,13,20,21,25,28,28/11/2018
369,11,18,23,25,28,35,30/11/2018
370,2,4,12,23,37,45,2/12/2018
